"NUM_CNPJ_CPF","NOME DO _FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DATA NOTA","VALOR DO ITEM ","CATEGORIA","LOCAL VIAGEM","UF LOCAL VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","002",21/12/2009,20415,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",16/12/2009,23/12/2009,"1-Inaug. da Estação Gen.Osório do Metrô-Ipanema.2-Cerim.de Entrega do Premio Olímpico,promov. pelo COB.3-Jantar""Apresent. o Melhor do Brasil""ofer. p/APEX aosempres.export.invest.4-Inaug.obras PAC:Rocinha,Compl. Alemão,Manguinos."
"05476186000173","SANTOS E LACERDA COMERCIAL LTDA EPP","SALVADOR","BA","0752",16/12/2008,"19225,2","FORNECIMENTO DE ALIMENTAÇÃO","MATA DE SAO JOAO","BA",11/12/2008,17/12/2008,"COSTA DO SAUIPE -Reunião da Cúpula do Mercosul e da Comunidade dos  Países da América Latina e Caribe"
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","13",29/05/2010,17354,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",28/05/2010,31/05/2010,"1-Cerimônia de Abertura da 10° Edição Michelin Bibendum no Brasil; 2-Cerimônia de Inauguração da Unidade de Pronto Atendimento 24 Horas - Cidade de Deus."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","020",25/10/2010,16644,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",21/10/2010,25/10/2010,"24/10-Carreata de campanha;25/10-1-entrega de 582 un.do prog. Minha Casa Minha Vida, no Jardim Acácias e Jardim Plmeiras;2-Entrega de 328 un.hab. do PAC Manguinhos;3-Cerim.de Lanç.ao mar da embarcação Log-In Jatobá"
"12382707000199","SERRA VERMELHA RESTAURANTE E BAR LTDA","RIO DE JANEIRO","RJ","001",20/12/2010,15300,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",15/12/2010,21/12/2010,"1- lançamento pedra sede da UNE; 2-entrega prêmio Brasil Olímpico 2010; 3-homenagem do Gov. ao PR; 3- inauguração teleférico cmplexo alemão, PAC"
"02320714000102","BAHIA CATERING LTDA (LSG SKY CHEFS)","SALVADOR","BA","002625",31/01/2009,"15194,5","FORNECIMENTO DE ALIMENTAÇÃO","MATA DE SAO JOAO","BA",11/12/2008,17/12/2008,"COSTA DO SAUIPE -Reunião da Cúpula do Mercosul e da Comunidade dos  Países da América Latina e Caribe"
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","14",31/05/2010,13898,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",28/05/2010,31/05/2010,"1-Cerimônia de Abertura da 10° Edição Michelin Bibendum no Brasil; 2-Cerimônia de Inauguração da Unidade de Pronto Atendimento 24 Horas - Cidade de Deus."
"07815201000196","RESTAURANTE AEROPORTO CARIOCA LTDA","BELÉM","PA","007",31/01/2009,"13784,7","FORNECIMENTO DE ALIMENTAÇÃO","BELEM","PA",25/01/2009,01/02/2009,"Forum  Social  Mundial"
"43212943000190","CIA TRANSAMÉRICA DE HOTÉIS - SÃO PAULO","SÃO PAULO","SP","772681",23/10/2003,"13277,5","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",21/10/2003,28/10/2003,
"05704361000132","MARCIA DE SOUZA BATISTA","UBERABA","MG","352",22/10/2010,"12089,73","GENEROS DE ALIMENTAÇÃO","UBERLANDIA","MG",21/10/2010,22/10/2010,"Compromisso Privado (comício de campanha)"
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","017",31/08/2010,11372,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",26/08/2010,31/08/2010,"LANÇAMENTO DO RIO TOP TOUR, INAUG. DA UPA 24 H, 100 ANOS PORTO DO RIO, SHOW BEIJO BANDIDO - NEYMATOGROSSO"
"10196882000166","NATAL CATERING LTDA","PARNAMIRIM","RN","000306",15/06/2009,"11020,82","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",10/05/2009,12/05/2009,
"44189389000130","NOVA VITÓRIA RÉGIA LTDA. EPP","SANTO ANDRÉ","SP","000120",10/09/2010,"11002,8","FORNECIMENTO DE ALIMENTAÇÃO","S. B. DO CAMPO","SP",07/09/2010,10/09/2010,"Suzano-Inaug.do Instituto Fed.de Educação,Ciência e Tecnologia; Cerimon. de entrega de 224 un.no Conj. Hab.Tres Marias,asin.de ordem de inic.e contr. p/ canalização do Córr.Chryler,e do Rib.dos Couros e urb.do Parque S.B.do Campo."
"06907992000111","BOI NA BRASA COMERCIO LTDA","IMPERATRIZ","MA","0502",21/02/2006,10145,"FORNECIMENTO DE ALIMENTAÇÃO","IMPERATRIZ","MA",19/02/2006,22/02/2006,"Anúncio do início das obras do campus de Imperatriz - MEMO 217/GSI/SCHEXEC/DGES"
"00156772000117","RESTAURANTE BANDEIRANTES DO CASTELO LTDA","RIO DE JANEIRO","RJ","228",01/09/2009,9759,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",28/08/2009,01/09/2009,"1-Cerimôn ia deFormatura de Turmas do ""Programa  Próximo Passo""na Região Metropolitana do Rio de Janeiro;2-Solenidade de Abertura do 81º ENIC- Encontro Nacional da Indústria da Construção, no Hotel Windsor Barra."
"17314329000553","RA CATERING LTDA - THE COLLECTION-CUMBICA SP","SÃO PAULO","SP","004262",30/06/2009,"9510,9","GENEROS DE ALIMENTAÇÃO","SÃO PAULO","SP",19/06/2009,23/06/2009,"Inauguração do novo prédio do Hospital Israelita Albert Einstein, e almoço e Despachos Internos."
"83741876000205","TAMOYO EMPREENDIMENTOS HOTELEIROS LTDA - SANDRI P.HOTEL","ITAJAÍ","SC","108639",13/09/2010,9243,"FORNECIMENTO DE ALIMENTAÇÃO","ITAJAÍ","SC",10/09/2010,13/09/2010,"Visitaa e inauguração da 1º etapa das obras de recuperação do Porto de Itajaí."
"02487222000106","TOLETO GRIL RESTAURANTE LTDA","RIO DE JANEIRO","RJ","165",03/12/2008,"9229,5","FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",01/12/2008,04/12/2008,"Lançamento do Programa Territórios de Paz e possivel Visita às Obras do PAC na Comunidade do Complexo na Comunidade do Complexo do Alemão."
"05704361000132","MARCIA DE SOUZA BATISTA","UBERABA","MG","00268",12/06/2010,9157,"GENEROS DE ALIMENTAÇÃO","UBERABA","MG",11/06/2010,14/06/2010,"Abertura Oficial da 40° Assembléia Nacional da Associação Nacional dos Serviços Municipais de Saneamento ASSEMAE."
"05871033000120","ZEN CONFEITARIA","FORTALEZA","CE","06913",30/11/2009,9100,"FORNECIMENTO DE ALIMENTAÇÃO","FORTALEZA","CE",27/11/2009,30/11/2009,"1-Sessão solene p/ entrega do título de Ciadadão Fortalezense ao                             Vice-Presidente José Alencar;2-Cerimônia de abertura da 56º Reunião Geral da Frente Nacional de Prefeitos."
"07363122000191","LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP","002304",27/09/2010,9095,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",24/09/2010,27/09/2010,"COMPROMISSO PRIVADO ( COMÍCIO DE CAMPANHA) -REUNIÃO NO ESCRITÓRIO DE SÃO PAULO."
"05871033000120","ZEN CONFEITARIA","FORTALEZA","CE","07189",08/06/2010,9028,"FORNECIMENTO DE ALIMENTAÇÃO","FORTALEZA","CE",03/06/2010,08/06/2010,"1- Cerimônia de comemoração dos 05 anos do Programa de micro-crédito rural        Agroamigo;2-Aula inaugural do Pro Jovem Urbano;3-Visita ao Banco de Sangue de Cordão Umbilical e Placentário - Rede Brasil Cord p/ decerramento de placa inaugural. "
"48696371000186","PANIFICADORA LA PLAGE LTDA","GUARUJÁ","SP","1219",10/02/2008,"8884,8","GENEROS DE ALIMENTAÇÃO","GUARUJA","SP",02/02/2008,10/02/2008,"Agenda  Particular"
