"NUM_CNPJ_CPF","NOME DO _FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DATA NOTA","VALOR DO ITEM ","CATEGORIA","LOCAL VIAGEM","UF LOCAL VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","2196",07/10/2003,"71163,79","LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",26/04/2003,25/05/2003,
"04604320000101","UIAKIRI AGÊNCIA DE VIAGEM E TURISMO LTDA","RIO BRANCO","AC","0232",01/02/2006,70000,"LOCACAO DE MEIOS DE TRANSPORTE","SENADOR GUIOMARD","AC",18/01/2006,21/01/2006,"Lançamento Oficial do Projeto-Modelo de assentamento agroflorestal - MEMO 22/GSI/SCAAM/MB"
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","95962",12/12/2005,"69448,55","LOCACAO DE MEIOS DE TRANSPORTE","TEÓFILO OTONI","MG",08/11/2005,10/11/2005,"MEMO 355GSIPR/SCAAM/EX ANÚNCIO DA DOAÇÃO DO TERRENO E DOS RECURSOS PARA CONSTRUÇÃO DO CAMPUS DA UFVJM EM TEÓFILO OTONI"
"00738087000107","VICTORY ALUGUEL DE VEÍCULOS E SERVIÇOS LTDA","BRASILIA","DF","42",07/04/2004,"69273,42","LOCACAO DE MEIOS DE TRANSPORTE","BONITO","MS",30/03/2004,03/04/2004,
"83300202000186","CURUMIM TRANSPORTES DE LOCAÇÃO LTDA","BELÉM","PA","1430",08/03/2006,"68580,8","LOCACAO DE MEIOS DE TRANSPORTE","MARABÁ","PA",20/02/2006,22/02/2006,"Visita às obras do Campus de Marabá"
"07150288000120","LOCALIZA CAR RENTAL S/A","BELO HORIZONTE","MG","000406",11/07/2006,"65824,27","LOCACAO DE MEIOS DE TRANSPORTE","JAGUARIBARA","CE",02/06/2006,06/06/2006,"Descerramento da placa de inauguração da Estação de Psicultura; Receber explicações sobre a Barragem do Castanhão; e Ato alusivo à vistita do Presidente da República ao complexo do Castanhão."
"07150288000120","LOCALIZA CAR RENTAL S/A","BELO HORIZONTE","MG","10294",29/10/2008,"62825,68","LOCACAO DE MEIOS DE TRANSPORTE","RIO DE JANEIRO","RJ",25/09/2008,29/09/2008,"celebração de 100 anos da morte machado de assis"
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","095241",05/12/2005,"61180,58","LOCACAO DE MEIOS DE TRANSPORTE","MUCURI","BA",08/11/2005,10/11/2005,"MEMO 356GSIPR/SCAAM/EX VISITA FÁBRICA DE PRODUÇÃO DE PAPEL E CELULOSE DO GRUPO SUZANO"
"04604320000101","UIAKIRI AGÊNCIA DE VIAGEM E TURISMO LTDA","RIO BRANCO","AC","233",01/02/2006,"54662,38","LOCACAO DE MEIOS DE TRANSPORTE","ASSIS BRASIL","AC",17/01/2006,21/01/2006,"Solenidade de inauguração da ponte de integração entre Brasil e Peru - MEMO 54/GSI/SCH EXEC/DGES"
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","1944",10/03/2003,54570,"LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",05/03/2003,10/03/2003,
"04669879000110","RENARO LOCAÇÃO DE VEÍCULOS E SERVIÇOS LTDA","SÃO CAETANO DO SUL","SP","141",23/06/2004,"54082,79","LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",02/06/2004,15/06/2004,
"63504989000190","D & A PARTICIPAÇÕES LTDA.","TERESINA","PI","000849",10/08/2005,"53293,47","LOCACAO DE MEIOS DE TRANSPORTE","ELISEU MARTINS","PI",01/08/2005,05/08/2005,"MEMO703GSIPR/SCHEXEC/DGES - VISITA COLHEITA DA MAMONA - EMPREENDIMENTO DA BRASIL ECODIESEL EM PARCERIA COM AGRICULTORES FAMILIARES; VISITA OBRAS DA BR135"
"04705875000140","THEODORO GONTIJO - ME","PALMAS","TO","000183",22/08/2005,"52052,12","LOCACAO DE MEIOS DE TRANSPORTE","GURUPI","TO",07/08/2005,11/08/2005,"MEMO234GSIPR/SCAAM/EX - VISITA ÀS OBRAS DA USINA HIDRELÉTRICA PEIXE ANGICAL"
"00738087000107","VICTORY ALUGUEL DE VEÍCULOS E SERVIÇOS LTDA","BRASILIA","DF","46",30/04/2004,"51338,8","LOCACAO DE MEIOS DE TRANSPORTE","MANAUS","AM",18/04/2004,22/04/2004,
"00257222000194","MULTI-CAR LOCADORA DE VEÍCULOS LTDA","SÃO PAULO","SP","582",13/08/2003,"47038,03","LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",26/07/2003,03/08/2003,
"04694202000131","VIP LINE LOCADORA DE VEICULOS E TURISMO LTDA","BRASILIA","DF","457",18/03/2004,"46920,28","LOCACAO DE MEIOS DE TRANSPORTE","ASSIS","SP",04/11/2005,08/11/2005,"MEMO 348GSIPR/SCAAM/EX INAUGURAÇÃO DA LINHA DE TRANSIMISSÃO LONDRINA/ASSIS/ARARAQUARA, COM VISITA À AMPLIAÇÃO DA SUBESTAÇÃO DE ASSIS"
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","2063",07/06/2003,"45423,81","LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",31/05/2003,04/06/2003,
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","111645",26/05/2006,"44062,19","LOCACAO DE MEIOS DE TRANSPORTE","SALVADOR","BA",04/01/2006,08/01/2006,"Agenda Particular /MEMO 01/GSI/SCAAM/MB"
"04669879000110","RENARO LOCAÇÃO DE VEÍCULOS E SERVIÇOS LTDA","SÃO CAETANO DO SUL","SP","173",16/07/2004,"43134,62","LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",21/06/2004,30/06/2004,
"63504989000190","D & A PARTICIPAÇÕES LTDA.","TERESINA","PI","859",09/03/2006,"42825,42","LOCACAO DE MEIOS DE TRANSPORTE","PARNAIBA","PI",19/02/2006,22/02/2006,"Anúncio do início das obras do campus de Parnaíba"
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","2012",03/05/2003,41765,"LOCACAO DE MEIOS DE TRANSPORTE","RIBEIRÃO PRETO","SP",29/04/2003,03/05/2003,
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","1978",08/04/2003,41600,"LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",01/04/2003,08/04/2003,
"04669879000110","RENARO LOCAÇÃO DE VEÍCULOS E SERVIÇOS LTDA","SÃO CAETANO DO SUL","SP","139",22/06/2004,41275,"LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",21/06/2004,30/06/2004,
"04705875000140","THEODORO GONTIJO - ME","PALMAS","TO","000240",29/05/2006,"41120,8","LOCACAO DE MEIOS DE TRANSPORTE","AGUIARNÓPOLIS","TO",21/05/2006,23/05/2006,"Visita às obras da Ferrovia Norte Sul"
"63504989000190","D & A PARTICIPAÇÕES LTDA.","TERESINA","PI","844",10/08/2005,"40233,23","LOCACAO DE MEIOS DE TRANSPORTE","FLORIANO","PI",01/08/2005,04/08/2005,"MEMO227GSIPR/SCAAM/EX - INAUGURAÇÃO DA PLANTA DE PRODUÇÃO DE BIODIESEL DA BRSIL ECODIESEL, VISITA OBRAS DA BR230"
"63504989000190","D & A PARTICIPAÇÕES LTDA.","TERESINA","PI","850",10/08/2005,"38773,57","LOCACAO DE MEIOS DE TRANSPORTE","TERESINA","PI",31/07/2005,04/08/2005,"MEMO701GSIPR/SCHEXEC/DGES - INAUGURAÇÃO DAS OBRAS DA VILA IRMÃ DULCE"
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","2210",28/10/2003,38530,"LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",21/10/2003,28/10/2003,
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","094140",22/11/2005,"38160,37","LOCACAO DE MEIOS DE TRANSPORTE","BAGÉ","RS",08/11/2005,09/11/2005,
"63504989000190","D & A PARTICIPAÇÕES LTDA.","TERESINA","PI","000855",24/02/2006,"37860,79","LOCACAO DE MEIOS DE TRANSPORTE","IMPERATRIZ","MA",19/02/2006,22/02/2006,"Anúncio do início das obras do campus de Imperatriz - MEMO 217/GSI/SCHEXEC/DGES"
"61400453000108","P.J.P. LOCAÇÕES E SERVIÇOS LTDA - BRASÍLIA RENT A","SÃO PAULO","SP","008056",01/12/2006,"37678,29","LOCACAO DE MEIOS DE TRANSPORTE","SÃO PAULO","SP",10/11/2006,13/11/2006,"ALMOÇO OFERECIDO PELO JOCKEY CLUB DE SÃO PAULO"
"00926724000160","RUSSO FILHOS LTDA","PONTA PORÃ","MS","353",28/03/2003,37660,"LOCACAO DE MEIOS DE TRANSPORTE","PONTA PORA","MS",24/03/2003,28/03/2003,
"01720459000122","FULL TIME LOCAÇÃO E SERVIÇOS S/C LTDA","SÃO CAETANO DO SUL","SP","1997",03/05/2003,37500,"LOCACAO DE MEIOS DE TRANSPORTE","SÃO BERNARDO DO CAMPO","SP",28/04/2003,04/05/2003,
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","94023",21/11/2005,"37420,8","LOCACAO DE MEIOS DE TRANSPORTE","SALVADOR","BA",21/09/2005,24/09/2005,"MEMO296GSIPR/SCAAM/EX SOLENIDADE DE ABERUTA DA II CONFERÊNCIA MUNDIAL DO CAFÉ E CERIMÔNIA DE LANÇAMENTO DO PROGRAMA DE RECADASTRAMENTO DE PESCADORES"
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","094020",21/11/2005,"37177,41","LOCACAO DE MEIOS DE TRANSPORTE","TRAMANDAÍ","RS",25/07/2005,28/07/2005,"MEMO651GSIPR/SCHEXEC/DGES - VISITA Às obras da br101"
"07150288000120","LOCALIZA CAR RENTAL S/A","BELO HORIZONTE","MG","000259",05/06/2006,"36538,62","LOCACAO DE MEIOS DE TRANSPORTE","CERES","GO",15/05/2006,17/05/2006,"VISITA  ÀS OBRAS DE REFORMA DAS INSTALAÇÕES DO HOSPITAL PIO X"
"16670085000155","LOCALIZA RENT A CAR S/A","BELO HORIZONTE","MG","086259",29/06/2005,"35277,17","LOCACAO DE MEIOS DE TRANSPORTE","VITÓRIA","ES",21/02/2005,24/02/2005,"Memo nº 59-GSIPR/SCAAM/EXInício das Obras de Expansão e Modernização do Aeroporto Internacinal de Vitória, Visita às obras da Petrobrás, Terminal Norte Capixaba e Feira do Mármore"
"00738087000107","VICTORY ALUGUEL DE VEÍCULOS E SERVIÇOS LTDA","BRASILIA","DF","22",23/12/2003,"35100,17","LOCACAO DE MEIOS DE TRANSPORTE","MOSSORÓ","RN",17/12/2003,20/12/2003,
"61400453000361","BRASÍLIA RENT A CAR - LOCAÇÕES E SERVIÇOS LTDA","BARUERI","SP","4285",02/08/2005,"33791,65","LOCACAO DE MEIOS DE TRANSPORTE","TAUBATÉ","SP",14/07/2005,19/07/2005,"MEMO309GSIPR/SCAAM/MB - ALMOÇO SEGUIDO DE CERIMÔNIA DE INAUGURAÇÃO DA AMPLIAÇÃO DA EMPRESA LG ELETRONICS E VISITA À ALSTOMPOR OCASIÃO DO 50º ANIVERSÁRIO DA EMPRESA"
