"NUM_CNPJ_CPF","NOME DO _FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DATA NOTA","VALOR DO ITEM","CATEGORIA","LOCAL VIAGEM","UF LOCAL VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8965,14/05/2016,650,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",14/05/2016,16/05/2016,"ATIVIDADE PRIVADA"
94629334000172,"BRESCIA ALIMENTOS LTDA-PÃO NO CESTO","PORTO ALEGRE","RS",12430,15/05/2016,560,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/05/2016,16/05/2016,"ATIVIDADE PRIVADA"
91121004000183,"CHURRASCARIA GARCIAS LTDA.","PORTO ALEGRE","RS",29614,15/05/2016,375,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/05/2016,16/05/2016,"ATIVIDADE PRIVADA"
94629334000172,"BRESCIA ALIMENTOS LTDA-PÃO NO CESTO","PORTO ALEGRE","RS",12432,16/05/2016,260,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/05/2016,16/05/2016,"ATIVIDADE PRIVADA"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8968,16/05/2016,175,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",14/05/2016,16/05/2016,"ATIVIDADE PRIVADA"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8971,18/05/2016,400,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",14/05/2016,16/05/2016,"ATIVIDADE PRIVADA"
42806406000106,"BAR E RESTAURANTE POMPEU","BELO HORIZONTE","MG",5894,20/05/2016,3125,"FORNECIMENTO DE ALIMENTAÇÃO","BELO HOIZONTE","MG",19/05/2016,21/05/2016,"Presidenta afastada - V Encontro Nacional de Blogueiros e Ativistas Digitais e Jan-  tar com o Governador de Minas Gerais"
16838539000154,"PADARIA E RESTAURANTE VALENTINA LTDA","SÃO PAULO","SP",687364,21/05/2016,"336,22","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",20/05/2016,22/05/2016,"Agenda Privada"
47508411105179,"CIA. BRASILEIRA DE DISTRIBUIÇÃO","SÃO PAULO","SP",224617,21/05/2016,"52,23","GENEROS DE ALIMENTAÇÃO","SÃO PAULO","SP",20/05/2016,22/05/2016,"Agenda Privada"
62706650000104,"RESTAURANTE CHIMALAYA LTDA - ME","SÃO PAULO","SP",95443,22/05/2016,288,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",20/05/2016,22/05/2016,"Agenda Privada"
16838539000154,"PADARIA E RESTAURANTE VALENTINA LTDA","SÃO PAULO","SP",687840,22/05/2016,"63,24","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",20/05/2016,22/05/2016,"Agenda Privada"
7027378000128,"VERDES VALES LAZER HOTEL","JUAZEIRO DO NORTE","CE",32325,23/05/2016,"1384,89","FORNECIMENTO DE ALIMENTAÇÃO","CABROBO","PE",03/05/2016,06/05/2016,"VISITA AO EIXONORTE DO PROJETO DE INTEGRAÇÃO DO SÃO FRANCISCO - PISF"
58546920000190,"M.A.CANCIAN E CIA LTDA","TIETE","SP",3853,25/05/2016,"522,5","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",20/05/2016,22/05/2016,"Agenda Privada"
7587258000185,"HIROMI NAKANO DOS SANTOS - ME","IBIÚNA","SP",5319,26/05/2016,154,"FORNECIMENTO DE ALIMENTAÇÃO","IBIUNA","SP",26/05/2016,28/06/2016,"ATIVIDADE PRIVADA"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8990,28/05/2016,3125,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",25/05/2016,26/05/2016,"ATIVIDADE PRIVADA"
8860301000105,"RESTAURANTE DOS BOMBEIROS LTDA-GARCIAS GRILL","PORTO ALEGRE","RS",113361,29/05/2016,2275,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/05/2016,30/05/2016,"Agenda Privada Presidenta Dilma."
94629334000172,"BRESCIA ALIMENTOS LTDA-PÃO NO CESTO","PORTO ALEGRE","RS",12437,03/06/2016,3920,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",03/06/2016,05/06/2016,"Presidenta afastada: Agenda Privada"
8860301000105,"RESTAURANTE DOS BOMBEIROS LTDA-GARCIAS GRILL","PORTO ALEGRE","RS",117621,04/06/2016,625,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",03/06/2016,05/06/2016,"Presidenta afastada: Agenda Privada"
4174787000169,"TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ",15,09/06/2016,16100,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",01/06/2016,03/06/2016,"Presidenta Afastada: Agenda Privada."
144516000100,"PANIFICADORA PÃO DO CAMBUÍ LTDA","CAMPINAS","SP",3878,09/06/2016,4400,"FORNECIMENTO DE ALIMENTAÇÃO","CAMPINAS","SP",08/06/2016,09/06/2016,"PRESIDENTA AFASTADA : EVENTOS"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8991,11/06/2016,1950,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",10/06/2016,12/06/2016,"Atividade privada"
40960809000180,"BONFIM PRODUTOS ALIMENTÍCIOS LTDA","JOÃO PESSOA","PB",4205,15/06/2016,9299,"FORNECIMENTO DE ALIMENTAÇÃO","JOÃO PESSOA","PB",14/06/2016,16/06/2016,"AUDIÊNCIA PÚBLICA DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA."
14041186000131,"VANDERLINDE & VEBER LTDA - ME","JOÃO PESSOA","PR",48553,15/06/2016,735,"FORNECIMENTO DE ALIMENTAÇÃO","JOÃO PESSOA","PB",14/06/2016,16/06/2016,"AUDIÊNCIA PÚBLICA DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA."
40960809000180,"BONFIM PRODUTOS ALIMENTÍCIOS LTDA","JOÃO PESSOA","PB",4204,15/06/2016,"9,9","GENEROS DE ALIMENTAÇÃO","JOÃO PESSOA","PB",14/06/2016,16/06/2016,"AUDIÊNCIA PÚBLICA DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA."
47508411089203,"CIA BRAS DE DISTRIB. - EXTRA","SALVADOR","BA",174306,15/06/2016,"5190,48","GENEROS DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",87166,15/06/2016,27,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",87178,15/06/2016,8,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
13928483000130,"FARMÁCIAS DE ANDRADE LTDA","SALVADOR","BA",3164,15/06/2016,"5,9","GENEROS DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
7021226000118,"VANCEL-RESTAURANTE SABOR DA CASA LTDA","SALVADOR","BA",33038,16/06/2016,"272,13","FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",87186,16/06/2016,44,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",87194,16/06/2016,14,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",118610,16/06/2016,8,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",118612,16/06/2016,8,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
8985370000137,"SILVA & BORBA RESTAURANTE LTDA","RECIFE","PE",207,16/06/2016,756,"FORNECIMENTO DE ALIMENTAÇÃO","RECIFE","PE",15/06/2016,18/06/2016,"Eventop: Ato Público"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",87222,17/06/2016,14,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
2178017000169,"SANFERNANDO ALIMENTOS LTDA","RECIFE","PE",2149,17/06/2016,12000,"FORNECIMENTO DE ALIMENTAÇÃO","RECIFE","PE",15/06/2016,18/06/2016,"Eventop: Ato Público"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8992,18/06/2016,1775,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",17/06/2016,19/06/2016,"AGENDA PRIVADA"
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8993,19/06/2016,175,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",17/06/2016,19/06/2016,"AGENDA PRIVADA"
91121004000183,"CHURRASCARIA GARCIAS LTDA.","PORTO ALEGRE","RS",29616,19/06/2016,1000,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",17/06/2016,20/06/2016,
4174787000169,"TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ",16,20/06/2016,"13897,5","FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",11/06/2016,14/06/2016,"Audiência c/ Thomas Bach, Presidente doComitê Olímpico Interncional-COI; Reu- nião Iterministerial sobre sobre Olimpíadas- Parque Olímpico."
11115559000183,"ABASTECEDORA DE COMBUSTÍVEIS SMR LTDA","PORTO ALEGRE","RS",159100,21/06/2016,"193,86","GENEROS DE ALIMENTAÇÃO","PORTO ALEGRE","RS",17/06/2016,20/06/2016,
7363122000191,"LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP",8994,25/06/2016,2350,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",24/06/2016,26/06/2016,"Evento Privado"
91121004000183,"CHURRASCARIA GARCIAS LTDA.","PORTO ALEGRE","RS",115264,26/06/2016,925,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",23/06/2016,26/06/2016,"Presidenta afastada; Atividade privada"
91121004000183,"CHURRASCARIA GARCIAS LTDA.","PORTO ALEGRE","RS",29618,26/06/2016,50,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",23/06/2016,26/06/2016,"Presidenta afastada; Atividade privada"
9205833000163,"ANTONINO CESAR DE MORAES BATISTA E CIA LTDA","GOIANIA","GO",3842,26/06/2016,1440,"FORNECIMENTO DE ALIMENTAÇÃO","GOIÂNIA","GO",25/06/2016,27/06/2016,"ATIVIDADE PRIVADA"
4910063000136,"PANIFICADORA UMARIZAL LTDA","BELEM","PA",2801,29/06/2016,7900,"FORNECIMENTO DE ALIMENTAÇÃO","BELÉM","PA",28/06/2016,30/06/2016,"Ato Público"
4899316007805,"IMIFARMA PROD. FARMA E COSMETICOS S/A","BELÉM","PA",42048,30/06/2016,"5,82","GENEROS DE ALIMENTAÇÃO","BELÉM","PA",28/06/2016,30/06/2016,"Ato Público"
