"NUM_CNPJ_CPF","NOME DO _FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DATA NOTA","VALOR DO ITEM","CATEGORIA","LOCAL VIAGEM","UF LOCAL VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
10348318000383,"WINDSOR ADMINISTRACAO DE HOTEIS E SERVIÇOS LTDA","RIO DE JANEIRO","RJ",92173,13/06/2016,"135568,36","HOSPEDAGENS","RIO DE JANEIRO","RJ",16/06/2016,21/06/2016,"PRECURSORA DA MISSÃO DOS JOGOS OLÍMPICOS RIO 2016."
33200049001461,"HOTÉIS OTHON S/A","RIO DE JANEIRO","RJ",438791,"01-ago-16",40158,"HOSPEDAGENS","RIO DE JANEIRO","RJ",27/07/2016,30/07/2016,"INAUGURAÇÃO DA LINHA 4 DO METRO RJ"
3422594000389,"PESTANA RIO ATLANTICA HOTEL","RIO DE JANEIRO","RJ",172228,"07-set-16",38304,"HOSPEDAGENS","RIO DE JANEIRO","RJ","04-set-16","08-set-16","ABERTURA XV JOGOS PARALIMPICOS"
10938753000104,"HOTEL ATLANTICO RIO LTDA EPP","RIO DE JANEIRO","RJ",14603,"12-ago-16",37800,"HOSPEDAGENS","RIO DE JANEIRO","RJ",30/07/2016,"06-ago-16","Abertura dos jogos Olimpícos 2016"
33957796000477,"BHG IMOBILIÁRIA HOTELARIA E TURISMO S.A.","RIO DE JANEIRO","RJ",34708,"21-out-16","27211,8","HOSPEDAGENS","RIO DE JANEIRO","RJ","13-out-16","16-out-16","VIAGEM DO EXMO. SENHOR PRESIDENTE DA REPÚBLICA, EM EXERCÍCIO, COM FINALIDADE DE AGENDA PRIVADA"
3422594000389,"PESTANA RIO ATLANTICA HOTEL","RIO DE JANEIRO","RJ",172938,"20-set-16","26170,2","HOSPEDAGENS","RIO DE JANEIRO","RJ","16-set-16","19-set-16","Cerimônia de Encerramento dos XV Jogos Paralímpicos"
5298154000125,"WINDSOR BARRA HOTEL LTDA","RIO DE JANEIRO","RJ",187819,14/06/2016,"23212,04","HOSPEDAGENS","RIO DE JANEIRO","RJ",11/06/2016,14/06/2016,"Audiência c/ Thomas Bach, Presidente doComitê Olímpico Interncional-COI; Reu- nião Iterministerial sobre sobre Olimpíadas- Parque Olímpico."
29099330000168,"HOTEL ATLANTICO COPACABANA LTDA","RIO DE JANEIRO","RJ",26796,"16-ago-16",22638,"HOSPEDAGENS","RIO DE JANEIRO","RJ",30/07/2016,"06-ago-16","Abertura dos jogos Olimpícos 2016"
17312237000100,"BT VERBO DIVINO HOTEIS LTDA","SÃO PAULO","SP",162705,"05-dez-16","22382,5","HOSPEDAGENS","SÃO PAULO","SP",29/11/2016,"02-dez-16","PARTICIPAR BRAZIL OPPORTUNITIES CONFERENCE 21016"
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",76363,"13-dez-16","20005,65","HOSPEDAGENS","SÃO PAULO","SP","08-dez-16","13-dez-16","ATIVIDADE PRIVADA E RECEBER PRÊMIO LIDER DO BRASIL 2016"
4254324000107,"METROPOLITAN HOTEL LTDA","TERESINA","PI",80657,15/07/2016,"19370,4","HOSPEDAGENS","TERESINA","PI",12/07/2016,16/07/2016,"Participação em Ato Público"
11941604000230,"PRODOMUS ADMINISTRAÇÃO HOTELEIRA LTDA","RIO DE JANEIRO","DF",2805,"25-out-16","17234,7","HOSPEDAGENS","RIO DE JANEIRO","RJ","22-out-16","24-out-16","SESSÃO DE ABERTURA DA RIO OIL & GAS 2016"
7406242000129,"GRAN MARQUISE EMPREENDIMENTOS S.A","FORTALEZA","CE",130324,"13-dez-16","16741,2","HOSPEDAGENS","FORTALEZA","CE","07-dez-16","09-dez-16","ASSINATURA DO DECRETO REGULAMENTAR DA LEI 13.340 DE 28/09/2016, REFERENTE À LIQUIDAÇÃO E RENEGOCIAÇÃO DE DÍVIDA DE CRÉDITO RURAL"
3422594000389,"PESTANA RIO ATLANTICA HOTEL","RIO DE JANEIRO","RJ",168746,22/06/2016,"14647,5","HOSPEDAGENS","RIO DE JANEIRO","RJ",16/06/2016,21/06/2016,"PRECURSORA DA MISSÃO DOS JOGOS OLÍMPICOS RIO 2016."
2908104000124,"AQUARIOS PRAIA HOTEL","ARACAJU","SE",3965,27/07/2016,13540,"HOSPEDAGENS","ARACAJU","SE",22/07/2016,26/07/2016,"participação ato público"
3422594000389,"PESTANA RIO ATLANTICA HOTEL","RIO DE JANEIRO","RJ",169909,19/07/2016,13167,"HOSPEDAGENS","RIO DE JANEIRO","RJ",14/07/2016,17/07/2016,"PRECURSORA JOGOS OLIMPICOS 2016"
23882611000106,"RAMADA PLAZA CURITIBA RAYON LTDA","CURITIBA","PR",5414,"09-ago-16",13041,"HOSPEDAGENS","CURITIBA","PR","05-ago-16","09-ago-16","ATO PUBLICO"
4367573000109,"HOTEL BELVEDERE LTDA.","PAULO AFONSO","BA",13889,"09-dez-16",12220,"HOSPEDAGENS","PAULO AFONSO","BA","07-dez-16","10-dez-16","VISITA À ESTAÇÃO DE BOMBEAMENTO EBV-3 RESERVATÓRIO SALGUEIRO, DO PROGRAMA DE INTEGRAÇÃO DO SÃO FRANCISCO - PISF"
33957796000477,"BHG IMOBILIÁRIA HOTELARIA E TURISMO S.A.","RIO DE JANEIRO","RJ",33452,"06-set-16",12012,"HOSPEDAGENS","RIO DE JANEIRO","RJ","02-set-16","04-set-16","ATIVIDADE PRIVADA DO PRESIDENTE EM EXERCÍCIO RODRIGO MAIA."
8998246000106,"BOURBON IBIRAPUERA HOTEL & CONVENTION","SÃO PAULO","SP",750285,"20-set-16","11957,4","HOSPEDAGENS","SÃO PAULO","SP","16-set-16","19-set-16","Viagem do Senhor Presidente da República, em exercício, para Palestra na Associação Comercial de São Paulo - Reunião do Conselho Político e Social"
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",64453,"03-out-16",11739,"HOSPEDAGENS","SÃO PAULO","SP","28-set-16","02-out-16","Participação do Excelentíssimo Senhor Presidente da República na solenidade de abertura da 8o edição da Exame Forum"
3572464000160,"BELEM HOTEIS E TURISMO S/A","BELEM","PA",251593,01/07/2016,"11677,05","HOSPEDAGENS","BELÉM","PA",28/06/2016,30/06/2016,"Ato Público"
8998246000106,"BOURBON IBIRAPUERA HOTEL & CONVENTION","SÃO PAULO","SP",739990,11/07/2016,"11138,4","HOSPEDAGENS","SÃO PAULO","SP",06/07/2016,08/07/2016,"VISITA AO CONDOMINIO JOÃO CANDIDO E A CASA DE PORTUGAL"
2542529000162,"GOLDEN TOWER HOTEIS E TURISMO LTDA","SÃO PAULO","SP",110342,03/07/2016,"10826,55","HOSPEDAGENS","SÃO PAULO","SP",01/07/2016,04/07/2016,
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",48720,13/06/2016,"10807,65","HOSPEDAGENS","SÃO PAULO","SP",10/06/2016,12/06/2016,"Atividade privada"
1014140000181,"LANG PALACE HOTEL","XAPECO","SC",10741,"03-dez-16","10767,41","HOSPEDAGENS","CHAPECÓ","SC","01-dez-16","04-dez-16","PRESTAR HOMENAGENS PÓSTUMAS"
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",75444,"08-dez-16","10577,7","HOSPEDAGENS","SÃO PAULO","SP","05-dez-16","06-dez-16","CERIMÔNIA DE RECEBIMENTO DO PRÊMIO ""O BRASILEIRO DO ANO 2016 PELA REVISTA ISTO É"""
33957796000477,"BHG IMOBILIÁRIA HOTELARIA E TURISMO S.A.","RIO DE JANEIRO","RJ",34740,"21-out-16","10533,6","HOSPEDAGENS","RIO DE JANEIRO","RJ","16-out-16","20-out-16","SEGURANÇA DE FAMILIARES DO EXMO SR PRESIDENTE DA REPÚBLICA, EM EXERCÍCIO."
79335402000105,"HOTEL SIR LTDA","TELÊMACO BORBA","PR",413,28/06/2016,"10417,5","HOSPEDAGENS","ORTIGUEIRA","PR",26/06/2016,28/06/2016,"Inauguração da Fábrca de Celulose da KLABIM'"
7027378000128,"VERDES VALES LAZER HOTEL","JUAZEIRO DO NORTE","CE",32326,"23-mai-16",10133,"HOSPEDAGENS","CABROBO","PE","03-mai-16","06-mai-16","VISITA AO EIXONORTE DO PROJETO DE INTEGRAÇÃO DO SÃO FRANCISCO - PISF"
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",46024,"23-mai-16","10117,8","HOSPEDAGENS","SÃO PAULO","SP","20-mai-16","22-mai-16","Agenda Privada"
338915000705,"PAULISTA PRAIA HOTEL SA","RECIFE","PE",333281,20/06/2016,"9922,5","HOSPEDAGENS","RECIFE","PE",15/06/2016,18/06/2016,"Eventop: Ato Público"
2542529000162,"GOLDEN TOWER HOTEIS E TURISMO LTDA","SÃO PAULO","SP",112628,"02-out-16","9858,45","HOSPEDAGENS","SÃO PAULO","SP","28-set-16","02-out-16","Participação do Excelentíssimo Senhor Presidente da República na solenidade de abertura da 8o edição da Exame Forum"
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",73564,28/11/2016,"9657,9","HOSPEDAGENS","SÃO PAULO","SP",24/11/2016,27/11/2016,"SESSÃO DE ABERTURA DA CONFERÊNCIA POTENCIAL DA DIÁSPORA LIBANESA DA AMÉRICA LATINA E EVENTO PRIVADO"
3422594000702,"BRASTURINVEST INV TURISTICOS S/A - PESTANA","SALVADOR","BA",85013,20/06/2016,"9466,8","HOSPEDAGENS","SALVADOR","BA",14/06/2016,17/06/2016,"Presidenta Afastada: a) Sessão da Assembléia Legislatiava do Estado da Bahia; b) Ato cultural"
22359283000103,"BLUE TREE FARIA LIMA","SAO PAULO","SP",1,"15-mai-16",9198,"HOSPEDAGENS","SÃO PAULO","SP","14-mai-16","16-mai-16","ATIVIDADE PRIVADA"
